mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
calm,0.481,0.738,0.237,0.598,0.205,-13.576,0.0365,78.124,0.67,4
calm,0.00412,0.842,0.652,0.764,0.341,-4.479,0.0376,89.991,0.59,4
calm,0.736,0.723,0.204,0.843,0.104,-19.517,0.146,85.026,0.521,4
calm,0.133,0.475,0.31,0.738,0.17,-15.22,0.241,76.084,0.646,4
calm,0.68,0.582,0.0415,0.957,0.112,-19.063,0.113,79.999,0.323,4
calm,0.977,0.549,0.242,0.629,0.11,-16.813,0.05,84.999,0.0466,4
calm,0.91,0.776,0.162,0.889,0.102,-10.668,0.0377,83.021,0.366,4
calm,0.231,0.583,0.12,0.779,0.142,-11.749,0.0489,140.037,0.19,4
calm,0.1,0.902,0.487,0.914,0.153,-6.914,0.0818,137.837,0.645,4
calm,0.94,0.857,0.199,0.917,0.11,-12.926,0.258,80.001,0.15,1
calm,0.545,0.865,0.181,0.773,0.0864,-13.705,0.0737,85.038,0.377,4
calm,0.349,0.751,0.173,0.678,0.0684,-13.138,0.0402,80.02,0.354,3
calm,0.653,0.807,0.298,0.907,0.918,-12.322,0.102,156.003,0.537,4
calm,0.02,0.657,0.666,0.00147,0.107,-10.453,0.241,90.005,0.587,4
calm,0.684,0.61,0.445,0.166,0.208,-7.836,0.0989,81.995,0.26,4
calm,0.599,0.715,0.297,0.845,0.106,-14.204,0.141,156.041,0.274,3
calm,0.952,0.51,0.177,0.841,0.0991,-21.028,0.251,47.923,0.537,5
calm,0.0547,0.557,0.153,0.975,0.1,-11.854,0.0497,85.0,0.162,4
calm,0.792,0.601,0.232,0.332,0.0878,-10.277,0.0401,85.009,0.112,4
calm,0.831,0.606,0.48,0.12,0.106,-11.283,0.0614,93.032,0.078,4
calm,0.813,0.628,0.228,0.368,0.109,-8.002,0.0391,79.994,0.0477,4
calm,0.0104,0.515,0.719,0.94,0.136,-8.074,0.0313,79.28,0.886,4
calm,0.304,0.7,0.449,0.668,0.0934,-8.688,0.107,178.116,0.42,4
calm,0.629,0.667,0.414,0.0328,0.11,-12.062,0.305,94.055,0.243,4
calm,0.595,0.784,0.249,0.881,0.182,-13.422,0.0864,79.97,0.151,4
calm,0.125,0.83,0.235,0.097,0.0776,-17.037,0.489,124.116,0.428,4
calm,0.828,0.706,0.289,0.936,0.121,-15.089,0.0582,154.172,0.683,4
calm,0.746,0.722,0.466,1.21e-06,0.151,-10.81,0.435,87.999,0.33,4
calm,0.709,0.662,0.179,0.84,0.0949,-14.552,0.172,68.148,0.477,4
calm,0.351,0.648,0.54,0.759,0.0951,-7.129,0.0539,154.021,0.249,4
calm,0.718,0.703,0.13,0.34,0.101,-19.086,0.0538,80.014,0.0624,4
calm,0.392,0.71,0.167,0.337,0.0994,-17.133,0.0828,69.003,0.413,4
calm,0.0236,0.716,0.426,0.898,0.11,-9.911,0.0503,90.966,0.553,4
calm,0.467,0.574,0.434,0.705,0.105,-11.107,0.0926,150.148,0.248,4
calm,0.858,0.637,0.186,0.885,0.0986,-16.321,0.0351,76.991,0.0925,4
calm,0.185,0.666,0.15,0.844,0.0831,-11.735,0.0628,87.05,0.247,4
calm,0.968,0.595,0.326,0.951,0.0926,-14.338,0.0321,79.948,0.0933,4
calm,0.69,0.619,0.561,0.92,0.0887,-9.699,0.0531,80.133,0.0384,4
calm,0.911,0.77,0.452,0.731,0.11,-5.335,0.0861,89.118,0.211,4
calm,0.259,0.729,0.504,0.967,0.0621,-9.975,0.0423,188.013,0.926,4
calm,0.811,0.732,0.309,0.648,0.0975,-12.837,0.0416,84.998,0.125,4
calm,0.734,0.505,0.379,0.411,0.142,-13.919,0.199,162.243,0.558,3
calm,0.00291,0.648,0.294,0.899,0.0799,-7.381,0.0502,159.865,0.271,4
calm,0.573,0.603,0.45,0.844,0.13,-11.098,0.0355,94.996,0.322,4
calm,0.834,0.444,0.277,0.949,0.11,-18.382,0.204,170.085,0.366,4
calm,0.677,0.531,0.23,0.932,0.372,-10.453,0.0375,72.0,0.304,4
calm,0.0564,0.849,0.381,0.746,0.0896,-6.981,0.0643,87.116,0.591,4
calm,0.321,0.551,0.468,0.452,0.288,-11.611,0.41,76.247,0.375,4
